Notes,SiteID,RecoveryMethod,MeshSize,RecoveryMethodNotes
"T (p303-8) lists taxa in 19 sples/19 contexts; preservation by charring & imprssns:  tab1: no details given; tab2: some taxa listed as imprssns only; nos of taxa in 19 samples amalgamated; presence only for taxa ID as impressions; ubiquity not given",S4332,NULL,NULL,NULL
"B (p129-37) divides activity at the site into 2 +/-distinct periods: phases I-VII are included in the earlier of the 2; P (p126+App14) records taxa in 7 smpls from phases V & VII; smpls of 0.7-4 l were from ditch segments; 1 taxon ID from an impression",S4333,flotation,NULL,NULL
"S (p283) records 2 shallow pits with basal layers comprising grey soil + charcoal; C (p286-7) records taxa from the lowest levels in the 2 pits (F246&247); samples sizes of 2l & 5l; preservation poor & very few ID remains",S4334,wet-sieving,0.3mm,NULL
"T (p303-8) gives presence only for taxa  in 246 smpls/91 cntxts (LBK/StichBK/Lengyel smpls amalg); reference in text  to preservation by charring & impressions but  in table 1 this isn't specified for each taxon; weeds listed not ID; ubiquity not given",S4336,NULL,NULL,NULL
"K-M (p33-8) describes charred remains in samples (nos not given) from the early Meso occ layers; bulk peat samples were taken from every 'distinct deposit - e.g. charcoal-rich'; total volume (dry) of 16dm3 examined",S4338,wet-sieving,"2.5mm, 2.0mm, 1.0mm",NULL
"R (p40) describes this as a pit pre-dating the henge &  to the NW of the structure; C (p250-3) records that 61 l from the primary fill were processed  - residues also sorted; a single list of taxa in table 133 (?nos of samples)",S4344,flotation,0.25mm,NULL
"B&R (p37-57) list taxa in pits; total of 36 dm3 processed from 3 samples; B&R give nos of taxa per sample (table 4, p49); all samples have >20 items per dm3; B&R record impressions in pottery (not referred to in d/base - same taxa as in charred remains)",S4346,wet-sieving/dry-sieving,"0.5mm, 0.25mm",NULL
"B&R (p37-57) list taxa in a single sample/pit; 0.5 dm3 processed; B&R give nos of taxa per sample - table 4, p49; in this sample they record a density of 482 items per dm3",S4348,wet-sieving/dry-sieving,"0.5mm, 0.25mm",NULL
"B&R (p37-57) list taxa in a single sample/pit; 0.7 dm3 processed; B&R give nos of taxa per sample - table 4, p49; in this sample they record a density of 28.6  items per dm3",S4350,wet-sieving/dry-sieving,"0.5mm, 0.25mm",NULL
"P (125-46) records charred remains from '91-2 excavations; 60 smpls taken from 17 pits (13 LBK) - vols: 0.25-31kg; smpls soaked in water/hperoxide before sieving; 3 groups of smpls: random (x11pits), waste (x1pit), storage (x1pit); preservation poor",S4355,wet-sieving,"2.5mm, 1.0mm, 0.315mm",NULL
"H (p14-15) describes taxa identified from impressions in pottery dated to the late early Neolithic (or transitional EN/MN) - ?TRB ENII; he describes & gives numbers of specimens in his text but does not provide a full list of taxa; presence only in d/base",S4358,NULL,NULL,NULL
"B describes taxa ID in '86/7 seasons; sampling is same as outlined for KHr - surface & profile samples taken from 'open'/'closed'/single find contexts; total=103 samples; App4/2: nos+%'s of all charred taxa &/or waterlogged economic seeds/fruits in d/base",S4359,wet-sieving,NULL,NULL
"P (p1-17; 239-271) records charred remains from 2 separate pits (both Rossen) excavated in '73 & '77; both samples were soaked before sieving; '73 sample =?g '- 77 sample=5,117g; the taxa lists have been amalgamated",S4363,wet-sieving,"2.5mm, 1.0mm, 0.5mm, 0.315mm",NULL
"H (p115-7) describes charred remains found in 2 pits (F8 & F9); no mention of recovery method used or sample sizes; H records that the remains are very corroded making identification difficult; only 3 cereal taxa & 1 legume were found",S4364,NULL,NULL,NULL
"B (p2) describes charred remains in 2 samples taken from an ashy patch described by the excavators as a kind of hearth; 1 sample was handpicked during excavation the 2nd was sieved from a soil sample (sample size 5dm3)",S4365,hand-picked/dry-sieving,0.5mm,NULL
"B (p1-10) describes remains found in 'well dated pit fills' at the site (12 samples); if several layers were identified in a pit they were sampled separately; she gives vols in dm3 & lists nos of taxa per sample",S4367,NULL,NULL,NULL
"B&R (p37-57) list taxa in pits; a total of 12.25 dm3 processed from 6 samples; B&R give nos of taxa per sample - table 4, p49; all samples have >20 items per dm3 (Ge-U9 has a density of 748 items/dm3)",S4368,wet-sieving/dry-sieving,"0.5mm, 0.25mm",NULL
"G (p55-69) records taxa ID from impressns (I only refer to tables/legends & a brief abstract in English); pot & daub frags from 6 pit contexts (44 daub frags had 257 impressns); wheat & barley ID in daub - only wheat in coarse pot; presence only in d/base",S4370,NULL,NULL,NULL
"P/V (p495-97) record charred cereals on/in layer XI of cave; roof collapse preserved large spread of cereals (20m2) between 2 hearths (1&3); grains/chaff represent stored crops - no evidence of containers; nos of items not given only approx proportions",S4371,NULL,NULL,NULL
"E (p75) describes 3 cereal grains found in a pottery vessel; 3 +/- spherical seeds also recorded for which identifications are not given",S4375,NULL,NULL,NULL
"excavation took place  in the entrance of the cave (in 1970 & 2001/2); 5 samples taken during the 2001 season: 1 from a hearth & 4 from levels in grids 12L-N; no recovery method described; sample sizes: 6-19l; density of remains low & fragmentation high",S4376,NULL,NULL,NULL
"B (2002 p33-40) records remains in 2 pits (2 samples); vol = 16dm3; one list with nos of taxa from both samples is given; B (in prep) records same samples but some IDs are changed & different taxa - d/base represents later publication; ubiquity not given",S4377,"bucket flotation","2.0mm, 0.5mm",NULL
"K-M (p23-31) describes remains in 12 samples from hearths & shallow pits; recovery by wet-sieving & flotation; vols are given for flots - not for original samples; K-M mentions some taxa in text that are not in table 1 (p25)From R&H 2002: located on Sjaelland; the site was excavated in 1988 (Nielsen, Kalundborg Museum) in advance of construction work; it was excavated in its entirety and large quantities of lithics were recovered - dated to the early Ertebolle period (confirmed by 14C dates); originally the site was on a small island close to the shore of the fjord; the site location was ideal for fishing as indicated by the elaborate system of fish traps found leading out to the mouth of the fjord; the settlement remains comprised a number of hearths and a scattering of very shallow pits and/or natural depressions (e.g., H which is interpreted as a trampled area at the entrance of the dwelling); the original soil (?occupaton layer) was absent but the fills of pits and hearths were found in situ; an overlying gytta layer had sealed preventing dehydration/oxidation and later disturbance; archaeobotany: during the excavation large soil samples were taken from the hearths and pits/depressions - hand picked samples of larger charcoal items were also collected; soil samples were wet-sieved through meshes of 1mm and 4mm; sieve residues were dried and the various fractions + hand-picked samples were sent to the Danish National museum NSR; the hand-picked samples were found to contain mainly wood charcoal and hazelnuts; 12 large samples from 7 contexts were found to be rich and so these were chosen for further analysis - the original fractions were processed again using flotation with a mesh of 0.5mm; both charred and uncharred plant remains were found in the samples - most of the identifiable taxa came from pit H [I have no idea how Robinson's data relate to that in Kubiak-Martens 2002 report - but his taxon list is more comprehensive; I've combined taxa from K-M's data if missing from Robinson's list]",S4379,"flotation, wet-sieving",0.5mm,NULL
"J&L describe taxa ID in the different earthworks: HH: main enclosure+ditch; HH-SE: Stepleton enclosure; HH-SS: Stepleton spur; sample vols not given & no specific context info; heavy residues also sorted",S4380,"froth flotation, wet-sieving, dry-sieving, hand-picked","1.0mm, 0.3mm","mesh sizes listed for wet-sieving only; dry-sieving mesh size: 0.5inch"
"the site is located on a late Pleistocene inland dune in the central part of the Rhine-Meuse river delta; the geological history of the region reflects the indirect influence of the sea and lagoonal-deltaic sedimentation; a gradual rise of the ground water level resulted in the continuus accumulation of fluvial sediment and freshwater peat; the outcropping surface decreased from c.1.2 ha during Haz1 (c.4000BC) to 0.4ha during the Vlaardingen phase 2b (c.2500BC); excavation strategy was based on test pits located at c.15m apart all around the dune - the total excavated area is c.900m2; features and refuse layers were revealed on the slopes of the dune and in the surrounding deposits corresponding to several Neolithic occupation phases (Hazendonk 1,2,3; Vlaardingen 1a,1b,2b; Bell Beaker); the pottery found in layers 1 and 2 is considered to be characteristic of the middle phase of the Swifterbant culture, the pottery in layer 3 is typical of the Hazendonk group, and the upper layers have Vlaardingen and Bell Beaker ceramics; there are indications that the site was occupied during all seasons for almost all phases - although targeted seasonal use cannot be discounted; archaeobotany: sampling for macroremains was carried out using several methods (sample boxes and cores; bulk samples of concentrations of charred remains (some wet-sieved at 0.25mm); on-site sieving for finds (smallest mesh: 1.5mm); hand picked samples); db entries for Haz1 (phase code: Hd1; dated to the Swifterbant culture) include all taxa listed in table III.11 (regardless of how the sampling was done) and include those collected on 1.5mm and 0.25mm meshes; db entries for Haz3 (phase code Hd2; which is dated to the Hazendonk group) include all taxa listed in table III.11 (regardless of how the sampling was done) and include those collected on 5.0mm and 0.25mm meshes; db entries for VL1b/VLVL2b (phase code: Hd4; which is dated to the Vlaardingen culture) include all taxa listed in table III.11 (regardless of how the sampling was done) and include those collected on 5.0mm and 1.5mm meshes; Out records waterlogged and charred remains - as with other sites I've entered charred remains (and noted if taxa are also found in waterlogged form) and waterlogged taxa that are known to be edible (as in PFAF) - all other waterlogged remains are omitted from db entries",S4381,wet-sieving,0.25mm,NULL
"S describes remains from the LBK occupation - samples mostly  taken from sections & ditch cuts; 6 pits sampled (16 samples in total) - sample vol = 5l (1 sample = 2l); some residues also sorted; report gives v detailed ID notes; in 1980 a settlement of the Michelsberg Culture was discovered on top of the castle hill of Heilbronn-Klingenberg; an area 3.5 ha in size was excavated and investigated archaeobotanically; the late Neolithic settlement area is situated on a hilltop at 203 m asl. above the river Neckar and its tributary, the Klingenbach; the hill-top was defended against the wide loess plateau by two parallel arc-shaped ditches, which were up to 4 m deep (Biel 1988), the inner ditch was reinforced by a timber-laced earth bank with a central gate strengthened by stones; the older settlement phases seem to have occupied a larger area and extended to the west far beyond the excavated ditches, where more ditches are suspected; in the area investigated, 270 pits and both ditches are preserved, while other features such as ground plans of houses are completely absent; archaeobotanical analysis: only one sample was taken for every 15 pits, whereas for ten pits the sampling was carried out as follows: from the base, the middle layer and the top layer samples of 5 litres each were taken, from four pits rich in archaeological finds the entire profiles were sampled, for the ditch sediments, cross and longitudinal sections were sampled; in total, the 29 pits yielded 76 samples with a total volume of 381.5 litres, the outermost ditch 14 samples (76 litres) and the inner ditch 17 samples (90 litres); the samples were floated by hand at the excavation site and decanted through sieves with 2.5, 1.0 and 0.315 mm meshes; several hundred daub fragments were checked for plant imprints; the analysis of the charred and some mineralized plant remains was carried out in the laboratory of Stuttgart-Hohenheim, as was the analysis of the plant imprints [the outermost ditch had slowly filled with sediments, and its basal layer, 20 cm thick, consisted of deposits from a period when it was partly filled with water; the inner ditch was completely filled with sediments derived from a collapsed earth bank]; two pits should be mentioned: pit 256 contained a sediment infill rich in organic material and charcoal, overlying a basal ash layer - the upper half consisted of a dense mixture of daub and ceramics as well containing animal bones and mussel shell fragments; in contrast, the infill of pit 271 was less homogenous and thus had to be excavated layer by layer - this pit yielded a considerable number of finds: ceramics, daub fragments, fish vertebrae and other animal bones, flint tools and flakes, and stone axes; most of the other pit sediments were hardly stratified and differentiated, and they contained only a very limited number of archaeological and archaeobotanical finds; the archaeologists suggest that most of the pits were dug for use as grain storage pits.  ",S4383,wet-sieving,"2.5mm, 1.0mm, 0.315mm",NULL
"S records few details (p99-100) except that a 15 litre sample was taken from a pit with a high clay content (the sample was soaked in peroxide before sieving); S comments that the densities of grains & chaff indicate they derived from a storage context",S4384,NULL,NULL,NULL
"S (p63-104) describes remains in 20pits/51samples(Hz: 19pits/44samples; Hzs: 1pit/7samples); only 1 pit (338/Hzs) had a function (crop storage); sample vols = 6-60kg; deps soaked in soda before sieving; nos of taxa & ubiquity per pit (not per sample)",S4385,wet-sieving,"4.0mm, 2.0mm, 1.0mm, 0.5mm",NULL
"J&H describe remains in 6 structures (pits?) from 2 houses; 1 sple (7kg) was floated (pit 70); other remains were recovered in the field (hand-picked) or from charcoal sples (by eye/no sieving?); items in all sples amalgamated (table 4-3); very few taxa",S4388,"flotation, hand-picked","5.0mm, 0.1mm","largest mesh size: 5.0mm; smallest mesh size: 0.1mm"
"a/bot samples were from pits within an area defined by a flint scatter (1990, p109-23); C (p250-3) records taxa in 125 litres (?nos of samples); residues also sorted; very few ID remains - 1 list of taxa given in table 133",S4392,flotation,0.25mm,NULL
"K (p54-88) describes taxa from several early/middle/late Neo sites in Bavaria; few details given about the sites, contexts, sampling, recovery (etc.); at Kirchamper samples taken from pits - KpI (LBK): 9 samples; KpII (Oberlauterbach): 65 samples",S4393,NULL,NULL,NULL
"K (p649-81) records taxa from 7 LBK sites on the Aldenhovener Platte; few details re: sampling, recovery, contexts; at Lw16 there was a courtyard(?) + 3 'Hausgrundrisse' & 49 pits; 9 samples taken with 1046 remains (sample vols listed); site excv in 1994",S4401,NULL,NULL,NULL
"K (p139-52) records charred remains found in 27pits/76 sples (7 pits/sples with few remains omitted from d/base - see table 66); sples from same pit amalgamated; sple size = c.0.5dm3 ; pits 89, 306, 397 & 785 much richer than the others; ubiquity by pit",S4402,NULL,NULL,NULL
"K (p395-403) records charred remains found in 5 pits excavated in 1970/1; sample sizes varied from 0.5-6.0dm3; no mention was made in the report of the recovery method used; one pit much richer than the others (no 7)",S4403,NULL,NULL,NULL
"K (p395-403) records charred remains found in 5 pits excavated in 1970; sample sizes varied from 0.6-7.7dm3; no mention was made in the report of the recovery method used",S4404,NULL,NULL,NULL
"K (p813-52) describes remains in 109 pits; in table he lists 222 samples with identifiable items; sample size c.1dm3; K states it is possible to distinguish 6 phases of occupation but a/bot composition does not show any trends",S4405,wet-sieving,0.9mm,NULL
"K (p279-303) records charred remains  in 25 pits & 8 ditch cuts = total of 58 samples (in 5 pits several layers were sampled); he notes that an automated 'Schlämmanlage' system was used to process the samples; none of the pits represented storage contexts",S4406,wet-sieving,NULL,NULL
"K (p649-81) records taxa from 7 LBK sites on the Aldenhovener Platte; few details re: sampling, recovery, contexts; at Lz2 there were 9 'Hausgrundrisse' & 411 pits; 115 samples taken with ca.9000 remains (sample vols listed)",S4407,NULL,NULL,NULL
"K (p649-81) records taxa from 7 LBK sites on the Aldenhovener Platte; few details re: sampling, recovery, contexts; at Lz8 there was 1 courtyard (?) + 4 'Hausgrundrisse' & 53 pits; 5 samples taken & ca.4000 remains (sample vols listed); site excv in 1972",S4408,NULL,NULL,NULL
"J&F (p189-92) record taxa washed out from a pit; because of the odd recovery no sample details given; J&F assume the charred taxa were contemporary with pots in the pit - but for the waterlogged taxa I have only recorded 'collected' fruits&nuts (see Sw3)",S4410,NULL,NULL,NULL
"J records taxa ID in post holes, slots & pits (incl within buildings I&II); heavy residues also sorted & taxa added to flots; J lists taxa from post hole construction elements separately - I've amalgamated them to give a total of 53 samples (627.75l)",S4412,"machine flotation","1.0mm, 0.3mm",NULL
"K (p649-81) records taxa from 7 LBK sites on the Aldenhovener Platte; few details re: sampling, recovery, contexts; at LN3 there were 2 'Hausgrundrisse' & 14 pits; 2 samples taken with 66 remains (sample vols listed); site excv in 1970",S4413,NULL,NULL,NULL
"P (p239-271) records charred remains from an LBK pit; she mentions that samples (possibly this sample) had to be soaked before sieving; total weight of damp soil sample = 1775g; whole sample examined",S4415,wet-sieving,"2.5mm, 1.0mm, 0.315mm",NULL
"B (p35-48) describes taxa in 6 pits (exc in 1988); total of 19 samples examined - 4 pits were multi-layered; vols from 2-6dm3; 2 pits (13 & 78) are described as 'silos' - but only 13 has high densities; B lists nos of taxa per sample",S4417,wet-sieving,0.25mm,NULL
"H (p12-14) describes taxa identified in pottery dated to the early Neolithic - TRB C (?ENI/II); he describes and gives numbers of specimens in his text but doesn't give a comprehensive list of taxa; presence only given in d/base",S4419,NULL,NULL,NULL
"P (p239-271) records charred remains from an LBK pit excavated in '77; she mentions that samples (possibly this sample) had to be soaked before sieving; total weight of damp soil sample = 2698g; whole sample examined",S4420,wet-sieving,"2.5mm, 1.0mm, 0.315mm",NULL
"B (p55-68) records taxa in pit fills (total includes 6 p/holes) which represent single occupation phases only; sample size=2dm3 (exception: 3 samples of 1,4 & 5 dm3); presence only for taxa ID from impressions; d/base nos & %s are for charred taxa",S4423,wet-sieving,"1.0mm, 0.5mm, 0.25mm",NULL
"B (2002 p33-40) records remains in 2 pits (2 samples); vol = 16dm3; one list with nos of taxa from both samples is given; B (in prep) records same samples but some IDs are changed & different taxa - d/base represents later publication; ubiquity not given",S4426,"bucket flotation","2.0mm, 0.5mm",NULL
"K (p95-103) describes remains in 2 longitudinal pits (contexts 120 & 164) associated with a single house - total of 103 sples (1,805 l) taken; details of recovery process in ch7; K amalgamates taxa from all samples - in 1 list; ubiquity not given",S4427,wet-sieving,NULL,NULL
"W (p142-3) records remains in 3 features: hearths F41/F48 & a palisade slot (3 samples) - latter fill is colluvium & so exact provenance unknown - but date on charcoal in  a/bot sples was early; max vol = 50 l; all features are dated",S4428,flotation,"1.0mm, 0.5mm",NULL
"R (p117-22) describes taxa identified from impression in early Neolithic pottery (based on the earlier report by Schiemann in Florin 1958); a total of 30,000 sherds were found at the site; taxa are listed but numbers of impressions are not given",S4429,NULL,NULL,NULL
"K (p54-88) describes taxa from several early/middle/late Neo sites in Bavaria; few details given about the sites, contexts, sampling, recovery (etc.); at Moos 3 samples were taken from pits dated to the middle Neo [there were only indet items 1 of the 3]",S4430,NULL,NULL,NULL
"K (p51-73) describes taxa assoc with 21 houses: 47 longitudinal pits (925 l); 86 single pits (1,657 l); 6 slit trenches (117 l) & 2 ditches (40 l); K records taxa from 2 phases (I & II) together & amalgamates sples by pt/trench/ditch; ubiquity by context",S4433,wet-sieving,NULL,NULL
"Niederporing lies in the lowest Isartal - the arable land in the vicinity of the settlement is on the very fertile loess sheets of the Lower Bavarian Gauboden (Lkr. Deggendorf); Dr K. Schmotz (District Archaeology Deggendorf) submitted samples of Linearbandkeramik, Stichbandkeramik and Munchshofener pits: K (p54-88) describes taxa from several early/middle/late Neo sites in Bavaria; few details given about the sites, contexts, sampling, recovery (etc.); at N-L samples taken from pits: NLI (early Neo) 2 samples; NLII (mid Neo): 1 sample (cereal grains only); NLIII (mid Neo): 3 samples (all from pits)",S4435,NULL,NULL,NULL
"B (p157-66) records charred remains in 3 pits; sample vols: 2dm3; max & min nos of chaff items listed (there were many frags so B states it was not possible to give exact nos); max no given in d/base",S4436,wet-sieving,NULL,"author refers to recovery on a fine mesh (no details of exact size)"
"K (p54-88) describes taxa from several early/middle/late Neo sites in Bavaria; few details given about the sites, contexts, sampling, recovery (etc.); at O-S 3 samples were taken (?from pits) dated to the middle Neo [in 2 samples there were few ID items]",S4439,NULL,NULL,NULL
"H (p60-63) records charred remains from a refuse pit; no details of sample/s or size/s given; numbers of specimens for each taxon are recorded in the text - but there is no species list in the report; uncharred taxa listed have not been entered in d/base",S4445,flotation,NULL,NULL
"samples from W83: a +/- circular cluster of pits within a defined artefact scatter (p61); C (p250-3) records that 102 l from pits (nos not given) were processed - residues also sorted; a single list of taxa in table 133 (nos of samples not given)",S4451,flotation,0.25mm,NULL
"K (p105-115) describes taxa in 2 houses dug in '88/9; 20 samples from long pits (=400 l), 25 from single pits (=500 l) & 10 from slit pits (200 l); large mesh used so small taxa possibly lost; K lists taxa per pit-type not per sample; ubiquity by pit type",S4452,wet-sieving,1.0mm,NULL
"C (p106-11) records charred remains from a pit (560); 66l were processed by flotation &  wet sieving (+soaking in peroxide); 1 list of taxa (but Moffet et al (1989) record that 23 samples were taken?); very few ID items + charcoal",S4455,"bucket flotation, wet-sieving",0.25mm,NULL
"J (p221-31) records taxa in 1 ENII (SpI) sample & 3 MNII (SpIII) samples (dating/phasing complex); a total of c.2.5l  were examined; lists of taxa in tables 2&3 - %'s only for cereals - nos for other taxa (nos of taxa for MNII samples were amalgamated)",S4458,"froth flotation",NULL,NULL
"S records that samples (no mention of nos/vols) were taken from 2 pits; Jacomet (in press) states mesh size = 0.5mm for recovery of remains; S presents 1 list of taxa (table 3, p90) with nos of cereal grains but only '?s' for chaff (so ?any chaff present)",S4461,NULL,NULL,NULL
"B states that 3 samples from 3 features (total vol = 49dm3) were examined (no other context details supplied); a single list is presented with total nos of taxa from the 3 samples; ubiquity is not given",S4462,"bucket flotation","0.5mm, 0.2mm",NULL
"H (p211-19) describes taxa identified as impressions from plaster/sherds found in 2 houses (StgII = earlier & StgI = c.600 years later) both dated to the early Neolithic (TRB EN); descriptions of taxa & list of species given; presence only given in d/base",S4464,NULL,NULL,NULL
"K (p54-88) describes taxa from several early/middle/late Neo sites in Bavaria; few details given about the sites, contexts, sampling, recovery (etc.); at Stephansposching samples taken from pits: SteI (early Neo): 3 samples; SteII (mid Neo): 5 samples",S4465,NULL,NULL,NULL
"H (p4-6) describes taxa identified from impressions in pottery dated to the early Neolithic (TRB A = TRB ENI?); he describes & records nos of impressions in his text - in the table he lists taxa but not plant parts; presence only given in d/base",S4466,NULL,NULL,NULL
"K (p105-115) describes taxa in 4 houses dug in '86; sples from long pits (35 = 659 l), 1single pit (=12 l) & 1 post/hole (23 l);  only 1mm fractions examined > small taxa possibly lost; K amalgamates nos of taxa for the 37 sples in 1 list",S4467,wet-sieving,NULL,NULL
"vZ&PV (p105-68) record charred & waterlogged remains; most charred taxa found in 2mm sieve residues (tab 3) + some also in 'sediment samples'; all charred taxa in tab 3 & any noted in text entered in d/base + waterlogged 'collected' fruits;  presence only",S4469,wet-sieving,NULL,NULL
"a number of inter-tidal Neolithic settlements were discovered during survey work at this estuary (sites consisted of submerged land surfaces exposed between tides); the settlements were originally dryland sites when occupied, and it is estimated that most were approximately 1 km from their contemporary coastline; there is thus no preservation of organic remains by waterlogging at these sites; however, the overlying sediments deposited since the area was submerged by rising relative sea-level from c. 2000 B.C. have protected them from disturbance and erosion; the Neolithic palaeosol survives essentially intact, and shallow features are extant; since 1986, one settlement, Blackwater Site 28, on a mudflat known as 'The Stumble' north of Osea Island has been surveyed and selectively excavated; soil samples were collected from each 1m gridsquare from the palaeosol and from cut features within the main excavation area; dating (slightly confusing): two areas of The Stumble in particular do seem to be single-phase: 28C, with Early-Middle Neolithic artefacts and a calibrated date range of 3685-3370 BC; and 28D with Late Neolithic ceramics and a calibrated date range of  2870-2500; it can safely be assumed that almost all plant material from these two sites is related to a single phase of activity; the results from 28A,B&E are less consistent: the pottery is mostly Early-Middle Neolithic, but emmer-type grains gave a calibrated date of 2855-2465 BC; it is likely that both Early and Late Neolithic plant material is present in these samples. [excerpt from final report] [SC: I've assumed E/M Neo dates for areas 28A, 28B, 28C, 28E; and LNeo date for area 28D]; Archaeobotany: charred plant remains were recorded in 346 samples; the samples were washed/processed with water, using a sieve of 0.50 mm mesh size; cereal remains were recorded, including emmer wheat, einkorn wheat, naked wheat and naked barley; flax was also recorded; hazelnut shell was present, and fruit remains included crab-apple, bramble, sloe and haw; a variety of other wild plants (mainly seeds) was also recorded; charred tubers, rhizomes, roots and stem fragments were examined by Jon Hather; some uncharred remains were also recorded, which may be intrusive; exact quantities of plant remains from each deposit were not provided; samples are instead grouped by area (e.g. 44 samples from Area J), and the report notes the number of samples per area in which a taxon is present. [ubiquity calculations by area and not by sample; for areas 28A,B,C,E (E/MNeo): 7 activity areas comprising a total of 293 samples]",S4483,wet-sieving/flotation,0.5mm,NULL
"B (p6-7) describes charred remains found in 2 pits: pit 70 & 162 (70 associated with a house, possibly 162 also); vol of sample from pit 162 =2.5dm3; only 1 taxon found in pit 70; B notes that assemblage in 162 resembles 'fine sievings'",S4488,dry-sieving,0.5mm,NULL
"Vilsbiburg is located in the hilly part of Lower Bavaria, south of the Isar (Lkr. Landshut; provenance: Bauplatz Konig Lerchenstrasse ); as part of an excavation project of the Bavarian State Office of Historic Monuments (headed by Dr. B. Engel, Landshut) samples were taken for a/bot analyses; Kuster (p54-88) describes taxa from several early/middle/late Neo sites in Bavaria; few details given about the sites, contexts, sampling, recovery (etc.) - all plant remains are preserved by charring; samples were taken from pits: VgI (early Neo; 1 sample), VgII (mid Neo; 8 samples); samples from Munchshofener (VgIII) and Altheim (VgIV) contexts were added to the db during the EUROEVOL project",S4489,NULL,NULL,NULL
"K (p7-20) records charred taxa in 41 samples/36 pits (in the text he states 47 were examined); 3-5dm3 were sampled & subsamples of 0.2-0.4dm3 were taken for initial investigation (+> if needed); 2 samples had no ID remains (166&201) 2 very rich = 1&188",S4498,NULL,NULL,NULL
"a series of samples taken from an organic layer in pit 96001 (only 1 listed in tab 4-3); wt of sediment floated  = 54.8kg; density of remains = 3.83 items/l; the authors state that the sample derived from accidental spillage of cooking/processing episodes",S4499,flotation,5.0mm-0.1mm,NULL
"P (p239-71) records remains in 3 LBK pits excavated in '77; she mentions that samples had to be soaked before sieving; total weight of dry samples = 11702g (pit 4=3749g; pit 14=4818g; pit  16=3135g); total vols examined",S4500,wet-sieving,"2.5mm, 1.0mm, 0.315mm",NULL
"F (p168-70) describes taxa in 2 pits in Area D (external to causwayed encl +/- contemporary with the early phase, p175-6); 3 samples from basal fill of pit 323 & 1 from pit 325; nos of cereals & hazelnut frgs in table 13 - other taxa only recorded in text",S4501,"machine flotation","0.5mm, 0.25mm",NULL
"B states that 22 samples from 2 features (total vol = 189dm3) were examined (no other context details supplied); a single list is presented with total nos of taxa from the 22 samples; ubiquity is not given",S4502,"bucket flotation","0.5mm, 0.2mm",NULL
"K (p649-81) records taxa from 7 LBK sites on the Aldenhovener Platte; few details re: sampling, recovery, contexts; at WB there was salvage excv of 19 pits & 1 ditch - 3 samples taken from 3 pits with 110 remains (sample vols listed); site excv in 1969",S4503,NULL,NULL,NULL
"B states that 6 samples from 2 features (total vol = 56dm3) were examined (no other context details supplied); a single list is presented with total nos of taxa from the 6 samples; ubiquity is not given",S4506,"bucket flotation","0.5mm, 0.2mm",NULL
"T (p303-8) lists taxa in 3 sples/1 context (no other details given); T refers to preservation by charring & impressions but does not specify status of remains in tables; he IDs 2 cereals only and gives nos per sample in table 2 (p305); nos & %'s in d/base",S4508,NULL,NULL,NULL
"the site is in Brandenburg and as far as I can make out in a village near Furstenwalde; archaeobotany: Schiemann describes cereal (+weed taxa) in samples from the site stored in museum archives (Schiemann 1940); the samples are from several excavations - directed by Hessler (in 1912; stored in Muncheberg museum) and Kiekebusch (1913; stored in Markischen Museum Berlin, Furstenwalde museums); 5 different samples (from the 2 museum stores) are listed in table 1 but I've amalgamated the totals for the db (some material had been previously examined by Werth and Schiemann states she is verfying or otherwise his IDs); no details of recovery, sample size, sieve size are given - the fact that only 6 weed taxa were found suggests that the samples were 'hand picked' rather than floated",S4571,NULL,NULL,NULL
"the village was built on a dried out gytta islet (at the base of a gently sloping terrace); the site was excavated first in the 1950s when remains of houses, byres, barns were recorded set within a wooden palisade; on the basis of 14C and dendro dates the site dates to c.3100bc - 3 separate occupation phases span c.3 centuries; Troels Smith first examined material from the site; partially decayed midden material was identified in the byres/barns - possibly decayed fodder; in addition sediments in a transect were examined (dug from the terrace to the lake sediments c.12m to the E of the village) and revealed a horizontal layer comprising carbonised grain, charcoal and pottery fragments - interpreted as a cultivation layer; analysis of the layer (preserved within the lake sediments) provided considerable quantities of charcoal and charred grain/seeds and (?uncharred) seeds of flax, poppy, wild plant foods and arable weeds (interpreted as a mixture of manure and domestic refuse from the village + seeds and fruits from plants growing on the terrace); archaeobotany: Robinson & Rasmussen (1989) describe results from recent investigations that concentrated on the analysis of materials collected during re-excavation of the terrace-lakeshore transect in 1981 and on material from a byre; from the cultural layer in the transect: 1) 450 charred cereal grains were collected from the transect profile (measured and a sample submitted for 14C dating; table1); 2) stratified layers were examined in detail - comprising a mixture of (charred and waterlogged) food, economic and arable weed species (table 3; nos of taxa per 100ml of sediment); of note in this analysis are the high concentrations of cereal testa fragments and complete spikelets of T. aestivum (all uncharred) - the association with whipworm and tapeworm eggs suggests the material was faecal in origin (?human/animal); from the byre: samples also contained cereal testa fragments (lower concentrations) with fruit seeds - again faecal material; R&R suggest that human faeces were deposited in the byre and mixed with animal dung [data entered in the db are from tables 1 & 3]; Note: a majority of taxa not preserved by charring are wet-loving species (e.g. non economic plants); in the d/base I've been consistent with other sites & entered all charred remains+ waterlogged taxa (e.g. fruits&nuts etc.) which had obviously been deliberately collected & brought to the site (e.g. Corylus, Fragaria, Malus, etc.); if a taxon is preserved by charring & waterlogging the ubiquity & total no relate to the former",S4577,NULL,NULL,NULL
